------Generation 0------
Rule 17: 0003000000000, Class:  9, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 3e7e281481818, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 00000000000a0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 0000000d000d0, Class:  9, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 357d91c515188, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 0200d00000000, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 0000000008000, Class:  5, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 0000400003000, Class:  9, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: fa15d99115c86, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 354d94889d555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 030b9a6200099, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 000e00000000c, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 0000000390000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 0000000030000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: b56431131114d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 0000500d00000, Class:  9, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: f5441311d221a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 000c000000005, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 0e000500000d0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 000000000d00d, Class:  5, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 000800000000d, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: f57c118188131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 7bb919521d115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: b56251e51111a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 11b51258113d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 0000009000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 1a12116911283, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 1539dd154d855, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 00050000d0d00, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 0009000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 1565211151125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 2135c1e3282d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 0300000000200, Class: 10, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 6365129c19253, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 000d000000d00, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 00002000d0000, Class:  9, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: f1f1116952113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 000409900000d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 030b0000c0050, Class:  9, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 4d61911151c25, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 03070800c0000, Class:  8, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 0200000000300, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 0000000006000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 21b255dd55351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: bc3dc1e92c185, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: b8f18191d151e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: a92525dd21115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 0005050000d00, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 1122116c213ea, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: ad4511dc11318, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 0200000000000, Class:  8, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 00000000300d0, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 00000000900d0, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: f919859111152, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 1e4c853d3dd81, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 63b3521831811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 114d8d3991128, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 7c355d5111155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 000000000d000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 00003000c0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 00000000d00c0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 7ca3182c13d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: b241525513128, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 4161555d11d25, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 0000400009000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 000dcd000d000, Class:  5, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 332591d895511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 21341511892d2, Class:  6, CF:0.880313, Len: 13, Fitness_tra: -1
Rule 88: 6342558115355, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 000e00c0c000d, Class:  3, CF:0.514178, Len:  4, Fitness_tra: 1
Rule 90: b71dddd25151d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 0000400008a00, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 000d13a1d2d10, Class:  2, CF:0.797959, Len:  9, Fitness_tra: 1
Rule 93: 700019030d115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 000d000400d00, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 1a171169213e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 000dbd05de000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 6005000000d0c, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 000d500000d00, Class:  4, CF:0.395457, Len:  3, Fitness_tra: 2
Rule 99: 0201901000c00, Class:  7, CF:0.0660372, Len:  5, Fitness_tra: -28
Rule100: b564389311192, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:87.2054
------Result------
Miss_rate(tra)	:87.2054
Miss_rate(tst)	:85.8586
ARL				:7.57143

------Generation 3------
Rule  1: 000c0e0000e00, Class:  6, CF:0.998788, Len:  3, Fitness_tra: 5
Rule  2: 0008000400e0e, Class:  6, CF:  1, Len:  4, Fitness_tra: 3
Rule  3: 000d0d000ed00, Class:  6, CF:  1, Len:  4, Fitness_tra: 1
Rule  4: aaa5d11111513, Class:  4, CF:0.982901, Len: 13, Fitness_tra: 0
Rule  5: 3313151119dc2, Class:  7, CF:  1, Len: 13, Fitness_tra: 1
Rule  6: 121d211315219, Class:  8, CF:  1, Len: 13, Fitness_tra: 1
Rule  7: 000d505050003, Class:  4, CF:0.94124, Len:  5, Fitness_tra: 1
Rule  8: 1362ed1233511, Class:  7, CF:  1, Len: 13, Fitness_tra: 1
Rule  9: a9718d1591121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 000e20e5d0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 03070a6800599, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 72f7315181d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 0000000005c00, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 0000cd009000e, Class:  9, CF:  1, Len:  4, Fitness_tra: 1
Rule 16: 0000000000030, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 0003000000000, Class:  9, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 3e7e281481818, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 00000000000a0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 0000000d000d0, Class:  9, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 357d91c515188, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 0200d00000000, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 0000000008000, Class:  5, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 0000400003000, Class:  9, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: fa15d99115c86, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 354d94889d555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 030b9a6200099, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 000e00000000c, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 0000000390000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 0000000030000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: b56431131114d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 0000500d00000, Class:  9, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: f5441311d221a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 000c000000005, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 0e000500000d0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 000000000d00d, Class:  5, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 000800000000d, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: f57c118188131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 7bb919521d115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: b56251e51111a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 11b51258113d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 0000009000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 1a12116911283, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 1539dd154d855, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 00050000d0d00, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 0009000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 1565211151125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 2135c1e3282d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 0300000000200, Class: 10, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 6365129c19253, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 000d000000d00, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 00002000d0000, Class:  9, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: f1f1116952113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 000409900000d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 030b0000c0050, Class:  9, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 4d61911151c25, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 03070800c0000, Class:  8, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 0200000000300, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 0000000006000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 21b255dd55351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: bc3dc1e92c185, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: b8f18191d151e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: a92525dd21115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 0005050000d00, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 1122116c213ea, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: ad4511dc11318, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 0200000000000, Class:  8, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 00000000300d0, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 00000000900d0, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: f919859111152, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 1e4c853d3dd81, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 63b3521831811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 114d8d3991128, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 7c355d5111155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 000000000d000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 00003000c0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 00000000d00c0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 7ca3182c13d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: b241525513128, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 4161555d11d25, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 0000400009000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 000dcd000d000, Class:  5, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 332591d895511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 21341511892d2, Class:  6, CF:0.880313, Len: 13, Fitness_tra: -1
Rule 88: 6342558115355, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 000e00c0c000d, Class:  3, CF:0.514178, Len:  4, Fitness_tra: 1
Rule 90: b71dddd25151d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 0000400008a00, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 000d13a1d2d10, Class:  2, CF:0.797959, Len:  9, Fitness_tra: 1
Rule 93: 700019030d115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 000d000400d00, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 1a171169213e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 000dbd05de000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 6005000000d0c, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 000d500000d00, Class:  4, CF:0.395457, Len:  3, Fitness_tra: 2
Rule 99: 0201901000c00, Class:  7, CF:0.0660372, Len:  5, Fitness_tra: -28
Rule100: b564389311192, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:87.2054
------Result------
Miss_rate(tra)	:87.2054
Miss_rate(tst)	:85.8586
ARL				:7.57143

------Generation 4------
Rule  1: 000c0e0000e00, Class:  6, CF:0.998788, Len:  3, Fitness_tra: 5
Rule  2: 0008000400e0e, Class:  6, CF:  1, Len:  4, Fitness_tra: 3
Rule  3: 000d0d000ed00, Class:  6, CF:  1, Len:  4, Fitness_tra: 1
Rule  4: aaa5d11111513, Class:  4, CF:0.982901, Len: 13, Fitness_tra: 0
Rule  5: 3313151119dc2, Class:  7, CF:  1, Len: 13, Fitness_tra: 1
Rule  6: 121d211315219, Class:  8, CF:  1, Len: 13, Fitness_tra: 1
Rule  7: 000d505050003, Class:  4, CF:0.94124, Len:  5, Fitness_tra: 1
Rule  8: 1362ed1233511, Class:  7, CF:  1, Len: 13, Fitness_tra: 1
Rule  9: a9718d1591121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 000e20e5d0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 03070a6800599, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 72f7315181d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 0000000005c00, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 0000cd009000e, Class:  9, CF:  1, Len:  4, Fitness_tra: 1
Rule 16: 0000000000030, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 0003000000000, Class:  9, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 3e7e281481818, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 00000000000a0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 0000000d000d0, Class:  9, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 357d91c515188, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 0200d00000000, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 0000000008000, Class:  5, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 0000400003000, Class:  9, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: fa15d99115c86, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 354d94889d555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 030b9a6200099, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 000e00000000c, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 0000000390000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 0000000030000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: b56431131114d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 0000500d00000, Class:  9, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: f5441311d221a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 000c000000005, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 0e000500000d0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 000000000d00d, Class:  5, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 000800000000d, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: f57c118188131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 7bb919521d115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: b56251e51111a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 11b51258113d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 0000009000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 1a12116911283, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 1539dd154d855, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 00050000d0d00, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 0009000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 1565211151125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 2135c1e3282d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 0300000000200, Class: 10, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 6365129c19253, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 000d000000d00, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 00002000d0000, Class:  9, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: f1f1116952113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 000409900000d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 030b0000c0050, Class:  9, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 4d61911151c25, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 03070800c0000, Class:  8, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 0200000000300, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 0000000006000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 21b255dd55351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: bc3dc1e92c185, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: b8f18191d151e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: a92525dd21115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 0005050000d00, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 1122116c213ea, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: ad4511dc11318, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 0200000000000, Class:  8, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 00000000300d0, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 00000000900d0, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: f919859111152, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 1e4c853d3dd81, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 63b3521831811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 114d8d3991128, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 7c355d5111155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 000000000d000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 00003000c0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 00000000d00c0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 7ca3182c13d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: b241525513128, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 4161555d11d25, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 0000400009000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 000dcd000d000, Class:  5, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 332591d895511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 21341511892d2, Class:  6, CF:0.880313, Len: 13, Fitness_tra: -1
Rule 88: 6342558115355, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 000e00c0c000d, Class:  3, CF:0.514178, Len:  4, Fitness_tra: 1
Rule 90: b71dddd25151d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 0000400008a00, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 000d13a1d2d10, Class:  2, CF:0.797959, Len:  9, Fitness_tra: 1
Rule 93: 700019030d115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 000d000400d00, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 1a171169213e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 000dbd05de000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 6005000000d0c, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 000d500000d00, Class:  4, CF:0.395457, Len:  3, Fitness_tra: 2
Rule 99: 0201901000c00, Class:  7, CF:0.0660372, Len:  5, Fitness_tra: -28
Rule100: b564389311192, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:87.2054
------Result------
Miss_rate(tra)	:87.2054
Miss_rate(tst)	:85.8586
ARL				:7.57143

------Generation 5------
Rule  1: 000c0e0000e00, Class:  6, CF:0.998788, Len:  3, Fitness_tra: 5
Rule  2: 0008000400e0e, Class:  6, CF:  1, Len:  4, Fitness_tra: 3
Rule  3: 000d0d000ed00, Class:  6, CF:  1, Len:  4, Fitness_tra: 1
Rule  4: aaa5d11111513, Class:  4, CF:0.982901, Len: 13, Fitness_tra: 0
Rule  5: 3313151119dc2, Class:  7, CF:  1, Len: 13, Fitness_tra: 1
Rule  6: 121d211315219, Class:  8, CF:  1, Len: 13, Fitness_tra: 1
Rule  7: 000d505050003, Class:  4, CF:0.94124, Len:  5, Fitness_tra: 1
Rule  8: 1362ed1233511, Class:  7, CF:  1, Len: 13, Fitness_tra: 1
Rule  9: a9718d1591121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 000e20e5d0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 03070a6800599, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 72f7315181d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 0000000005c00, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 0000cd009000e, Class:  9, CF:  1, Len:  4, Fitness_tra: 1
Rule 16: 0000000000030, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 0003000000000, Class:  9, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 3e7e281481818, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 00000000000a0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 0000000d000d0, Class:  9, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 357d91c515188, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 0200d00000000, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 0000000008000, Class:  5, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 0000400003000, Class:  9, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: fa15d99115c86, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 354d94889d555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 030b9a6200099, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 000e00000000c, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 0000000390000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 0000000030000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: b56431131114d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 0000500d00000, Class:  9, CF:  0, Len:  0, Fitness_tra: 0
