------Generation 0------
Rule  1: 000000000000000000, Class:  0, CF:0.529566, Len:  0, Fitness_tra: 241
Rule 31: 00000b000000000000, Class:  0, CF:0.524224, Len:  1, Fitness_tra: 0
Rule 32: 000000000000000000, Class:  0, CF:0.529566, Len:  0, Fitness_tra: 0
Rule 33: 000000000000000090, Class:  0, CF:0.376404, Len:  1, Fitness_tra: 0
Rule 34: 0000c0000c000000dd, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 35: 00000c004004000000, Class:  0, CF:0.485876, Len:  3, Fitness_tra: 0
Rule 36: 1157772118121211c2, Class:  0, CF:0.867512, Len: 18, Fitness_tra: 0
Rule 37: 1591c25131d1521111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: d162211251d1d22115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 8182211d418c521181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 2c1821111121c4215e, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 41: d118449831d518c115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 000000000c00000000, Class:  0, CF:0.432034, Len:  1, Fitness_tra: 0
Rule 43: 5952125c5558145295, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 000300000000000085, Class:  0, CF:0.199569, Len:  3, Fitness_tra: 0
Rule 45: 000000000000000000, Class:  0, CF:0.529566, Len:  0, Fitness_tra: 0
Rule 46: 00000c004040000000, Class:  0, CF:0.507692, Len:  3, Fitness_tra: 0
Rule 47: 12e81c821118122231, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 11351c171119911111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 8217b72322441c2171, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 50: 811212c94514d12442, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 1d1112251328811121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 2881b129122c52122b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 2dd21125421c527112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 0000008d008c000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 11d214258121111511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 13314118d3d5525111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 13ad241151d9371151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 000000000000000000, Class:  0, CF:0.529566, Len:  0, Fitness_tra: 0
Rule 59: 825b4b11458c881224, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 5512741519c8127182, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 080000c50000800000, Class:  1, CF:0.307527, Len:  4, Fitness_tra: 0
Rule 62: c1142b81c81c1c4c41, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 63: 51d127151482171113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 3e1d12911ed1314111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 0007000e000b055807, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 0000007e0c7b000000, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 67: 222212214c821c1155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 2192242dc581dc1182, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 3935c431395351c155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 1ee52c319951e21251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 0000000005000c0020, Class:  0, CF:0.706457, Len:  3, Fitness_tra: 0
Rule 72: 000000000000000000, Class:  0, CF:0.529566, Len:  0, Fitness_tra: 0
Rule 73: 8458278dc481211511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 21311111818cc71151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 113d215c1518221291, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 000000c5000000e000, Class:  1, CF:  1, Len:  3, Fitness_tra: 0
Rule 77: 91112b3b1953315121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 000000000000000000, Class:  0, CF:0.529566, Len:  0, Fitness_tra: 0
Rule 79: 113541323959541121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 111d21911155128415, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 81: 000000000000000400, Class:  0, CF:0.566576, Len:  1, Fitness_tra: 28
Rule 82: d211121e4242112151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 000000000000000000, Class:  0, CF:0.529566, Len:  0, Fitness_tra: 0
Rule 84: 000000b60000000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 0
Rule 85: 21144b431241825121, Class:  0, CF:0.970292, Len: 18, Fitness_tra: 0
Rule 86: 0000007e0c7b000000, Class:  1, CF:  1, Len:  0, Fitness_tra: 0
Rule 87: 111c1113c222521559, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 88: d53211c51114112111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 5121414e122754c451, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 525472134117241111, Class:  0, CF:0.999571, Len: 18, Fitness_tra: 0
Rule 91: 0b000000c000000262, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 000000b00c00000900, Class:  0, CF:0.948723, Len:  3, Fitness_tra: 0
Rule 93: 0000e0000000000000, Class:  1, CF:0.653226, Len:  1, Fitness_tra: 1
Rule 94: 011220350184010011, Class:  1, CF:0.0226949, Len: 12, Fitness_tra: 0
Rule 95: 0501c7000d7d020114, Class:  0, CF:  1, Len: 11, Fitness_tra: 0
Rule 96: 521c71c1b811c85231, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 821b07030800500101, Class:  0, CF:0.999076, Len: 10, Fitness_tra: 0
Rule 98: d06220020d00020013, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 5135c4311983571715, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 10304008000b020010, Class:  0, CF:0.729133, Len:  7, Fitness_tra: 0
------Current------
Miss_rate(tra)	:23.2589
------Result------
Miss_rate(tra)	:23.2589
Miss_rate(tst)	:23.5294
ARL				:7.03846

------Generation 800------
Rule  1: 000000000000000000, Class:  0, CF:0.529566, Len:  0, Fitness_tra: 201
Rule  2: 0000b0000000000000, Class:  0, CF:0.590252, Len:  1, Fitness_tra: 65
Rule  3: 000000000070000000, Class:  0, CF:0.597481, Len:  1, Fitness_tra: 53
Rule  4: 00000000000000f000, Class:  0, CF:0.547342, Len:  1, Fitness_tra: 28
Rule  5: 000000000800500000, Class:  0, CF:0.986372, Len:  2, Fitness_tra: 21
Rule  6: 000000000d00007000, Class:  0, CF:0.75905, Len:  2, Fitness_tra: 6
Rule  7: 000000000d00000003, Class:  0, CF:0.742476, Len:  2, Fitness_tra: 3
Rule  8: 00000d000000000000, Class:  1, CF:0.73913, Len:  1, Fitness_tra: 1
Rule  9: 11221125c111d11212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 00000c5000000c00c0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: cd52cb8128141c4782, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 12: d531242141141211de, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 13: 996524121115142111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 02000b000000000000, Class:  0, CF:0.64459, Len:  2, Fitness_tra: 0
Rule 15: 115824211518541119, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 16: 11a1211c3313347251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 11151114151d112313, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 18: 000000000000000070, Class:  0, CF:0.519474, Len:  1, Fitness_tra: 0
Rule 19: 5331cc943e53311589, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 51311215598c1122c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 008000050000000000, Class:  1, CF:0.0417038, Len:  2, Fitness_tra: 0
Rule 22: 9511c252115d121111, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 23: 13654c945e19111125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: c11c128dc81c212118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 52512bc51221172159, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 26: 1421221e7244242131, Class:  1, CF:0.431694, Len: 18, Fitness_tra: 0
Rule 27: 503000000000000009, Class:  0, CF:  1, Len:  3, Fitness_tra: 0
Rule 28: 8112272d1184111711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 000000000000000000, Class:  0, CF:0.529566, Len:  0, Fitness_tra: 0
Rule 30: 3a38b73b69e16821c7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 00000b000000000000, Class:  0, CF:0.524224, Len:  1, Fitness_tra: 0
Rule 32: 000000000000000000, Class:  0, CF:0.529566, Len:  0, Fitness_tra: 0
Rule 33: 000000000000000090, Class:  0, CF:0.376404, Len:  1, Fitness_tra: 0
Rule 34: 0000c0000c000000dd, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 35: 00000c004004000000, Class:  0, CF:0.485876, Len:  3, Fitness_tra: 0
Rule 36: 1157772118121211c2, Class:  0, CF:0.867512, Len: 18, Fitness_tra: 0
Rule 37: 1591c25131d1521111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: d162211251d1d22115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 8182211d418c521181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 2c1821111121c4215e, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 41: d118449831d518c115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 000000000c00000000, Class:  0, CF:0.432034, Len:  1, Fitness_tra: 0
Rule 43: 5952125c5558145295, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 000300000000000085, Class:  0, CF:0.199569, Len:  3, Fitness_tra: 0
Rule 45: 000000000000000000, Class:  0, CF:0.529566, Len:  0, Fitness_tra: 0
Rule 46: 00000c004040000000, Class:  0, CF:0.507692, Len:  3, Fitness_tra: 0
Rule 47: 12e81c821118122231, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 11351c171119911111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 8217b72322441c2171, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 50: 811212c94514d12442, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 1d1112251328811121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 2881b129122c52122b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 2dd21125421c527112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 0000008d008c000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 11d214258121111511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 13314118d3d5525111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 13ad241151d9371151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 000000000000000000, Class:  0, CF:0.529566, Len:  0, Fitness_tra: 0
Rule 59: 825b4b11458c881224, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 5512741519c8127182, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 080000c50000800000, Class:  1, CF:0.307527, Len:  4, Fitness_tra: 0
Rule 62: c1142b81c81c1c4c41, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 63: 51d127151482171113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 3e1d12911ed1314111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 0007000e000b055807, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 0000007e0c7b000000, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 67: 222212214c821c1155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 2192242dc581dc1182, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 3935c431395351c155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 1ee52c319951e21251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 0000000005000c0020, Class:  0, CF:0.706457, Len:  3, Fitness_tra: 0
Rule 72: 000000000000000000, Class:  0, CF:0.529566, Len:  0, Fitness_tra: 0
Rule 73: 8458278dc481211511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 21311111818cc71151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 113d215c1518221291, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 000000c5000000e000, Class:  1, CF:  1, Len:  3, Fitness_tra: 0
Rule 77: 91112b3b1953315121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 000000000000000000, Class:  0, CF:0.529566, Len:  0, Fitness_tra: 0
Rule 79: 113541323959541121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 111d21911155128415, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 81: 000000000000000400, Class:  0, CF:0.566576, Len:  1, Fitness_tra: 28
Rule 82: d211121e4242112151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 000000000000000000, Class:  0, CF:0.529566, Len:  0, Fitness_tra: 0
Rule 84: 000000b60000000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 0
Rule 85: 21144b431241825121, Class:  0, CF:0.970292, Len: 18, Fitness_tra: 0
Rule 86: 0000007e0c7b000000, Class:  1, CF:  1, Len:  0, Fitness_tra: 0
Rule 87: 111c1113c222521559, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 88: d53211c51114112111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 5121414e122754c451, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 525472134117241111, Class:  0, CF:0.999571, Len: 18, Fitness_tra: 0
Rule 91: 0b000000c000000262, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 000000b00c00000900, Class:  0, CF:0.948723, Len:  3, Fitness_tra: 0
Rule 93: 0000e0000000000000, Class:  1, CF:0.653226, Len:  1, Fitness_tra: 1
Rule 94: 011220350184010011, Class:  1, CF:0.0226949, Len: 12, Fitness_tra: 0
Rule 95: 0501c7000d7d020114, Class:  0, CF:  1, Len: 11, Fitness_tra: 0
Rule 96: 521c71c1b811c85231, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 821b07030800500101, Class:  0, CF:0.999076, Len: 10, Fitness_tra: 0
Rule 98: d06220020d00020013, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 5135c4311983571715, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 10304008000b020010, Class:  0, CF:0.729133, Len:  7, Fitness_tra: 0
------Current------
Miss_rate(tra)	:23.2589
------Result------
Miss_rate(tra)	:23.2589
Miss_rate(tst)	:23.5294
ARL				:7.03846

------Generation 900------
Rule  1: 000000000000000000, Class:  0, CF:0.529566, Len:  0, Fitness_tra: 201
Rule  2: 0000b0000000000000, Class:  0, CF:0.590252, Len:  1, Fitness_tra: 65
Rule  3: 000000000070000000, Class:  0, CF:0.597481, Len:  1, Fitness_tra: 53
Rule  4: 00000000000000f000, Class:  0, CF:0.547342, Len:  1, Fitness_tra: 28
Rule  5: 000000000800500000, Class:  0, CF:0.986372, Len:  2, Fitness_tra: 21
Rule  6: 000000000d00007000, Class:  0, CF:0.75905, Len:  2, Fitness_tra: 6
Rule  7: 000000000d00000003, Class:  0, CF:0.742476, Len:  2, Fitness_tra: 3
Rule  8: 00000d000000000000, Class:  1, CF:0.73913, Len:  1, Fitness_tra: 1
Rule  9: 11221125c111d11212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 00000c5000000c00c0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: cd52cb8128141c4782, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 12: d531242141141211de, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 13: 996524121115142111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 02000b000000000000, Class:  0, CF:0.64459, Len:  2, Fitness_tra: 0
Rule 15: 115824211518541119, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 16: 11a1211c3313347251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 11151114151d112313, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 18: 000000000000000070, Class:  0, CF:0.519474, Len:  1, Fitness_tra: 0
Rule 19: 5331cc943e53311589, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 51311215598c1122c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 008000050000000000, Class:  1, CF:0.0417038, Len:  2, Fitness_tra: 0
Rule 22: 9511c252115d121111, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 23: 13654c945e19111125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: c11c128dc81c212118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 52512bc51221172159, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 26: 1421221e7244242131, Class:  1, CF:0.431694, Len: 18, Fitness_tra: 0
Rule 27: 503000000000000009, Class:  0, CF:  1, Len:  3, Fitness_tra: 0
Rule 28: 8112272d1184111711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 000000000000000000, Class:  0, CF:0.529566, Len:  0, Fitness_tra: 0
Rule 30: 3a38b73b69e16821c7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 00000b000000000000, Class:  0, CF:0.524224, Len:  1, Fitness_tra: 0
Rule 32: 000000000000000000, Class:  0, CF:0.529566, Len:  0, Fitness_tra: 0
Rule 33: 000000000000000090, Class:  0, CF:0.376404, Len:  1, Fitness_tra: 0
Rule 34: 0000c0000c000000dd, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 35: 00000c004004000000, Class:  0, CF:0.485876, Len:  3, Fitness_tra: 0
Rule 36: 1157772118121211c2, Class:  0, CF:0.867512, Len: 18, Fitness_tra: 0
Rule 37: 1591c25131d1521111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: d162211251d1d22115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 8182211d418c521181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 2c1821111121c4215e, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 41: d118449831d518c115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 000000000c00000000, Class:  0, CF:0.432034, Len:  1, Fitness_tra: 0
Rule 43: 5952125c5558145295, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 000300000000000085, Class:  0, CF:0.199569, Len:  3, Fitness_tra: 0
Rule 45: 000000000000000000, Class:  0, CF:0.529566, Len:  0, Fitness_tra: 0
Rule 46: 00000c004040000000, Class:  0, CF:0.507692, Len:  3, Fitness_tra: 0
Rule 47: 12e81c821118122231, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 11351c171119911111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 8217b72322441c2171, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 50: 811212c94514d12442, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 1d1112251328811121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 2881b129122c52122b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 2dd21125421c527112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 0000008d008c000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 11d214258121111511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 13314118d3d5525111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 13ad241151d9371151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 000000000000000000, Class:  0, CF:0.529566, Len:  0, Fitness_tra: 0
Rule 59: 825b4b11458c881224, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 5512741519c8127182, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 080000c50000800000, Class:  1, CF:0.307527, Len:  4, Fitness_tra: 0
Rule 62: c1142b81c81c1c4c41, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 63: 51d127151482171113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 3e1d12911ed1314111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 0007000e000b055807, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 0000007e0c7b000000, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 67: 222212214c821c1155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 2192242dc581dc1182, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 3935c431395351c155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 1ee52c319951e21251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 0000000005000c0020, Class:  0, CF:0.706457, Len:  3, Fitness_tra: 0
Rule 72: 000000000000000000, Class:  0, CF:0.529566, Len:  0, Fitness_tra: 0
Rule 73: 8458278dc481211511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 21311111818cc71151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 113d215c1518221291, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 000000c5000000e000, Class:  1, CF:  1, Len:  3, Fitness_tra: 0
Rule 77: 91112b3b1953315121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 000000000000000000, Class:  0, CF:0.529566, Len:  0, Fitness_tra: 0
Rule 79: 113541323959541121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 111d21911155128415, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 81: 000000000000000400, Class:  0, CF:0.566576, Len:  1, Fitness_tra: 28
Rule 82: d211121e4242112151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 000000000000000000, Class:  0, CF:0.529566, Len:  0, Fitness_tra: 0
Rule 84: 000000b60000000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 0
Rule 85: 21144b431241825121, Class:  0, CF:0.970292, Len: 18, Fitness_tra: 0
Rule 86: 0000007e0c7b000000, Class:  1, CF:  1, Len:  0, Fitness_tra: 0
Rule 87: 111c1113c222521559, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 88: d53211c51114112111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 5121414e122754c451, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 525472134117241111, Class:  0, CF:0.999571, Len: 18, Fitness_tra: 0
Rule 91: 0b000000c000000262, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 000000b00c00000900, Class:  0, CF:0.948723, Len:  3, Fitness_tra: 0
Rule 93: 0000e0000000000000, Class:  1, CF:0.653226, Len:  1, Fitness_tra: 1
Rule 94: 011220350184010011, Class:  1, CF:0.0226949, Len: 12, Fitness_tra: 0
Rule 95: 0501c7000d7d020114, Class:  0, CF:  1, Len: 11, Fitness_tra: 0
Rule 96: 521c71c1b811c85231, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 821b07030800500101, Class:  0, CF:0.999076, Len: 10, Fitness_tra: 0
Rule 98: d06220020d00020013, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 5135c4311983571715, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 10304008000b020010, Class:  0, CF:0.729133, Len:  7, Fitness_tra: 0
------Current------
Miss_rate(tra)	:23.2589
------Result------
Miss_rate(tra)	:23.2589
Miss_rate(tst)	:23.5294
ARL				:7.03846

------Generation 1000------
Rule  1: 000000000000000000, Class:  0, CF:0.529566, Len:  0, Fitness_tra: 189
Rule  2: 0000b0000000000000, Class:  0, CF:0.590252, Len:  1, Fitness_tra: 61
Rule  3: 000000000070000000, Class:  0, CF:0.597481, Len:  1, Fitness_tra: 52
Rule  4: 00000000000000f000, Class:  0, CF:0.547342, Len:  1, Fitness_tra: 20
Rule  5: 000000000000000400, Class:  0, CF:0.566576, Len:  1, Fitness_tra: 26
Rule  6: 000000000800500000, Class:  0, CF:0.986372, Len:  2, Fitness_tra: 21
Rule  7: 000000000d00007000, Class:  0, CF:0.75905, Len:  2, Fitness_tra: 6
Rule  8: 000000000d00000003, Class:  0, CF:0.742476, Len:  2, Fitness_tra: 3
Rule  9: 000000000000000805, Class:  0, CF:0.775285, Len:  2, Fitness_tra: 3
Rule 10: 000000b00d00000007, Class:  1, CF:0.978539, Len:  3, Fitness_tra: 2
Rule 11: 0000e0000000000000, Class:  1, CF:0.653226, Len:  1, Fitness_tra: 1
Rule 12: 00000d000000000000, Class:  1, CF:0.73913, Len:  1, Fitness_tra: 1
Rule 13: d531242141141211de, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 14: 02000b000000000000, Class:  0, CF:0.64459, Len:  2, Fitness_tra: 0
Rule 15: 115824211518541119, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 16: 11a1211c3313347251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 11151114151d112313, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 18: 000000000000000070, Class:  0, CF:0.519474, Len:  1, Fitness_tra: 0
Rule 19: 5331cc943e53311589, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 51311215598c1122c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 008000050000000000, Class:  1, CF:0.0417038, Len:  2, Fitness_tra: 0
Rule 22: 9511c252115d121111, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 23: 13654c945e19111125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: c11c128dc81c212118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 52512bc51221172159, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 26: 1421221e7244242131, Class:  1, CF:0.431694, Len: 18, Fitness_tra: 0
Rule 27: 503000000000000009, Class:  0, CF:  1, Len:  3, Fitness_tra: 0
Rule 28: 8112272d1184111711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 000000000000000000, Class:  0, CF:0.529566, Len:  0, Fitness_tra: 0
Rule 30: 3a38b73b69e16821c7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 00000b000000000000, Class:  0, CF:0.524224, Len:  1, Fitness_tra: 0
